review,at,source,sentiment,score,category
@PineLabs @Aeronpay__Care I have not got any resolution from your team. My refund is still pending and the team is not responding to my mails and calls.,2025-04-08 13:35:26+0000,PineLabs,negative,0.655818164,settlement
@PineLabs No resolution provided poor experience,2025-04-07 16:03:51+0000,PineLabs,negative,0.923764467,servicing
"@PineLabs @YESBANK Both of you entities indulging in illegal merchant acquisition practices! Despite 3 months of follow ups and complaints, the morons are unable to take back their PoS or reverse the illegal charges debited to merchants account. A police complaint will be better",2025-04-07 11:33:39+0000,PineLabs,negative,0.912133515,settlement
@PineLabs Why you people need so much of follow-up to de-install your PoS? You people are totally clueless about merchant banking and you are equally involved with @YESBANK in corrupt practices. @FinMinIndia and @rbi should investigate your conduct,2025-04-07 11:21:16+0000,PineLabs,negative,0.927374721,servicing
@PineLabs How long is “shortly”,2025-04-07 11:15:39+0000,PineLabs,neutral,0.79392916,onboarding
@PineLabs @YESBANK How long does it take to de-install your PoS! What’s your TAT? Is @FinMinIndia and @RBI aware of how you manipulate the market?,2025-04-07 11:10:00+0000,PineLabs,negative,0.520969272,device-issue
@PineLabs @Aeronpay__Care The issue has not been addressed and it's pending from last two months.,2025-04-07 10:47:01+0000,PineLabs,negative,0.518043756,servicing
"@PineLabs @woohoogifting Was expecting a reply, but even after lodging the complaint today in the consumer forum, I have not received my refund back. I have already tried to reach through all social media and consumer forum, now unfortunately I have to use the last resort.",2025-04-07 09:59:10+0000,PineLabs,negative,0.869607508,settlement
"@PineLabs i mistakely bought 10 yatra coupons , and i am unable to use it please cancel and refund my money.",2025-04-06 20:40:57+0000,PineLabs,negative,0.856730998,transaction-success
@PineLabs Sent!,2025-04-04 15:53:53+0000,PineLabs,neutral,0.58822763,onboarding
"@PineLabs worst sales service ever.
Absolutely frauds and cheats.",2025-04-04 11:58:47+0000,PineLabs,negative,0.958516121,servicing
@PineLabs Already send 16 march on DM,2025-04-01 16:31:34+0000,PineLabs,neutral,0.844461799,servicing
"@PineLabs 
@AnqFinance after 30 days I will complaint on RBI ombudsman for your non service response. #AnqCard",2025-04-01 15:56:50+0000,PineLabs,negative,0.623569012,servicing
"@PineLabs The worst service in India is from PINE LABS and their customer support is even worse
@pinelabsonline @RBI @nsitharaman",2025-04-01 11:37:58+0000,PineLabs,negative,0.938558519,servicing
"@PineLabs @pinelabsonline @pinelabsprepaid @pinelabsinstore @PinelabsForBiz What a worst support you stupid faltus are granting to customers. You are not fit for the financial sector due to your worst support, You always do this nonsense irrespective of time and day. https://t.co/GRKckpqGdF",2025-03-31 18:03:22+0000,PineLabs,negative,0.940936208,servicing
"@Pinelabs is running a scam! I paid for a lifetime plan on 19th March, and without my consent, @HDFC_Bank converted it into an EMI. This is a clear case of fraud. I demand an immediate cancellation and full refund! Consumers, stay alert!",2025-03-30 02:34:25+0000,PineLabs,negative,0.942488015,settlement
"@Pinelabs I purchased a lifetime plan on 19th March, but due to unauthorized SmartLoan EMI activation, I no longer wish to continue. Cancel my plan immediately and process a full refund. Such practices are misleading and unfair! Public beware of these scams. #FraudAlert #Scams",2025-03-29 18:38:48+0000,PineLabs,negative,0.951298237,settlement
"@PineLabs @pinelabsonline i am an merchant, no one is picking the call 
Customer is waiting for the paymnt since many days",2025-03-29 08:22:00+0000,PineLabs,neutral,0.663021684,servicing
@PineLabs Call me on 7007106636,2025-03-28 13:47:25+0000,PineLabs,neutral,0.857497752,servicing
"@PineLabs *GOOGLE PINELAB OLD*
 S/N - 1492831226
TID - 42677703
 *Google PINELAB New*
TID- 42773092
S/N - 1493791131
मेरी शॉप पर दो pos machiene install ki gayi hai aapke saleman mr रामकेश ne old pos me payby link option activate nahi kiya tha new yeh bol kar diya tha ki jab new",2025-03-28 13:45:03+0000,PineLabs,neutral,0.429301113,device-issue
